,product_id,address,price,area,bedrooms_num,bathrooms_num
26391,41136390,"Thủ Đức, Hồ Chí Minh",7300000000.0,171.0,2,2
26392,42113371,"Đống Đa, Hà Nội",7250000000.0,33.0,4,3
26393,41796172,"Dĩ An, Bình Dương",5350000000.0,90.0,0,0
26394,42113366,"Nha Trang, Khánh Hòa",1500000000.0,132.0,0,0
26395,41431199,"Bình Chánh, Hồ Chí Minh",36000000000.0,200.0,4,5
26396,41587624,"Bến Cát, Bình Dương",1100000000.0,330.0,0,0
26398,40073057,"Nhà Bè, Hồ Chí Minh",9500000000.0,90.0,1,1
26400,40073057,"Nhà Bè, Hồ Chí Minh",9500000000.0,90.0,1,1
26401,42113239,"Quận 9, Hồ Chí Minh",6200000000.0,100.0,0,0
26402,41880451,"Nha Trang, Khánh Hòa",28000000000.0,330.0,4,4
26403,41214732,"Xuyên Mộc, Bà Rịa Vũng Tàu",12500000000.0,240.0,0,0
26404,42061225,"Thuận An, Bình Dương",12500000000.0,1175.0,0,0
26405,41881401,"Nha Trang, Khánh Hòa",7280000000.0,117.5,0,0
26406,39160761,"Châu Thành, Long An",18000000000.0,3500.0,4,5
26407,42106739,"Tân Bình, Hồ Chí Minh",5300000000.0,70.0,2,2
26408,42113356,"Hai Bà Trưng, Hà Nội",23800000000.0,60.0,6,7
26409,40961161,"Hoài Đức, Hà Nội",12000000000.0,100.0,0,0
26410,39801862,"Nam Từ Liêm, Hà Nội",36500000000.0,102.0,8,10
26411,42113230,"Dương Kinh, Hải Phòng",920000000.0,50.2,0,0
26412,40602149,"Dĩ An, Bình Dương",3150000000.0,68.0,2,0
26413,42113228,"Krông Năng, Đắk Lắk",760000000.0,132.0,0,0
26414,41965806,"Nha Trang, Khánh Hòa",5600000000.0,100.0,4,3
26415,41754022,"Quận 7, Hồ Chí Minh",21000000000.0,90.0,0,0
26416,40990667,"Dĩ An, Bình Dương",26000000000.0,2990.0,0,0
26417,42113354,"Nha Trang, Khánh Hòa",2500000000.0,70.0,0,0
26419,42113118,"Quận 12, Hồ Chí Minh",598000000.0,19.0,2,1
26420,41131495,"Dĩ An, Bình Dương",5500000000.0,200.0,0,0
26421,42113351,"Nam Từ Liêm, Hà Nội",5000000000.0,70.0,2,2
26422,41688258,"Dĩ An, Bình Dương",2200000000.0,120.0,0,0
26423,42113347,"Ba Đình, Hà Nội",15500000000.0,70.0,4,4
26424,40867611,"Vĩnh Cửu, Đồng Nai",10500000000.0,5200.0,0,0
26426,39153571,"Hóc Môn, Hồ Chí Minh",27500000000.0,1735.0,0,0
26427,41684583,"Nam Từ Liêm, Hà Nội",25000000000.0,126.0,4,4
26428,42106732,"Quận 11, Hồ Chí Minh",3200000000.0,65.0,2,2
26429,41866284,"Bình Tân, Hồ Chí Minh",2760000000.0,35.0,5,3
26430,42113345,"Hà Đông, Hà Nội",40500000000.0,190.0,6,6
26431,42113334,"Bến Lức, Long An",4000000000.0,90.0,3,2
26432,41958661,"Thủ Dầu Một, Bình Dương",17500000000.0,375.0,0,0
26433,41693904,"Quy Nhơn, Bình Định",2000000000.0,66.0,3,0
26434,41883595,"Bình Thạnh, Hồ Chí Minh",16500000000.0,121.28,6,7
26435,40087811,"Vũng Tàu, Bà Rịa Vũng Tàu",2800000000.0,83.0,2,2
26436,42113216,"Đống Đa, Hà Nội",26000000000.0,50.0,0,0
26437,42113343,"Long Biên, Hà Nội",12750000000.0,61.0,2,3
26438,41684777,"Nam Từ Liêm, Hà Nội",62000000000.0,200.0,5,6
26439,42106723,"Phú Nhuận, Hồ Chí Minh",6400000000.0,92.0,3,2
26440,40345697,"Bình Tân, Hồ Chí Minh",2750000000.0,54.0,2,2
26441,41796028,"Vũng Tàu, Bà Rịa Vũng Tàu",3850000000.0,74.0,2,2
26442,42001661,"Dĩ An, Bình Dương",6500000000.0,80.0,0,0
26443,41796197,"Vũng Tàu, Bà Rịa Vũng Tàu",2150000000.0,52.0,1,1
26444,42062622,"Thủ Đức, Hồ Chí Minh",5400000000.0,117.0,0,0
26445,39963038,"Bến Lức, Long An",70000000000.0,10240.0,0,0
26446,41795844,"Dĩ An, Bình Dương",3800000000.0,73.0,4,3
26447,42113290,"Liên Chiểu, Đà Nẵng",3450000000.0,65.0,3,3
26448,41732329,"Nam Từ Liêm, Hà Nội",25000000000.0,120.0,6,6
26450,42030004,"Bình Thạnh, Hồ Chí Minh",23500000000.0,90.0,8,8
26451,42113079,"Phan Rang - Tháp Chàm, Ninh Thuận",6800000000.0,81.0,0,0
26452,42007953,"Dĩ An, Bình Dương",4500000000.0,120.0,0,0
26453,39963431,"Hóc Môn, Hồ Chí Minh",12500000000.0,5000.0,0,0
26455,41802256,"Quận 3, Hồ Chí Minh",160000000000.0,380.0,0,0
